group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
input-generator,5,,,,943208.0,ns,1
input-generator,5,,,,1987167.0,ns,2
input-generator,5,,,,3137209.0,ns,3
input-generator,5,,,,3737917.0,ns,4
input-generator,5,,,,5076250.0,ns,5
input-generator,5,,,,5919375.0,ns,6
input-generator,5,,,,6542791.0,ns,7
input-generator,5,,,,7609875.0,ns,8
input-generator,5,,,,8439000.0,ns,9
input-generator,5,,,,10403125.0,ns,10
input-generator,5,,,,10727166.0,ns,11
input-generator,5,,,,11065750.0,ns,12
input-generator,5,,,,17144750.0,ns,13
input-generator,5,,,,13738833.0,ns,14
input-generator,5,,,,15805208.0,ns,15
input-generator,5,,,,15507875.0,ns,16
input-generator,5,,,,17038209.0,ns,17
input-generator,5,,,,18517541.0,ns,18
input-generator,5,,,,19675791.0,ns,19
input-generator,5,,,,36042042.0,ns,20
input-generator,5,,,,21681083.0,ns,21
input-generator,5,,,,21173208.0,ns,22
input-generator,5,,,,22796625.0,ns,23
input-generator,5,,,,24027625.0,ns,24
input-generator,5,,,,24225791.0,ns,25
input-generator,5,,,,29065834.0,ns,26
input-generator,5,,,,27597667.0,ns,27
input-generator,5,,,,27660083.0,ns,28
input-generator,5,,,,27604042.0,ns,29
input-generator,5,,,,30127625.0,ns,30
input-generator,5,,,,29658458.0,ns,31
input-generator,5,,,,39091666.0,ns,32
input-generator,5,,,,32250916.0,ns,33
input-generator,5,,,,34486083.0,ns,34
input-generator,5,,,,41454250.0,ns,35
input-generator,5,,,,35099541.0,ns,36
input-generator,5,,,,35806625.0,ns,37
input-generator,5,,,,65712084.0,ns,38
input-generator,5,,,,38680209.0,ns,39
input-generator,5,,,,40195292.0,ns,40
input-generator,5,,,,41086750.0,ns,41
input-generator,5,,,,39670709.0,ns,42
input-generator,5,,,,41438916.0,ns,43
input-generator,5,,,,41409875.0,ns,44
input-generator,5,,,,43381417.0,ns,45
input-generator,5,,,,44871042.0,ns,46
input-generator,5,,,,89686750.0,ns,47
input-generator,5,,,,46148416.0,ns,48
input-generator,5,,,,47064333.0,ns,49
input-generator,5,,,,48773709.0,ns,50
input-generator,5,,,,51932417.0,ns,51
input-generator,5,,,,50201959.0,ns,52
input-generator,5,,,,50937625.0,ns,53
input-generator,5,,,,50515416.0,ns,54
input-generator,5,,,,56676958.0,ns,55
input-generator,5,,,,52989667.0,ns,56
input-generator,5,,,,87176625.0,ns,57
input-generator,5,,,,55979916.0,ns,58
input-generator,5,,,,56117166.0,ns,59
input-generator,5,,,,64173416.0,ns,60
input-generator,5,,,,73387416.0,ns,61
input-generator,5,,,,65636708.0,ns,62
input-generator,5,,,,66773875.0,ns,63
input-generator,5,,,,74690833.0,ns,64
input-generator,5,,,,66716375.0,ns,65
input-generator,5,,,,100361584.0,ns,66
input-generator,5,,,,74634583.0,ns,67
input-generator,5,,,,80564542.0,ns,68
input-generator,5,,,,72595625.0,ns,69
input-generator,5,,,,75124667.0,ns,70
input-generator,5,,,,117603958.0,ns,71
input-generator,5,,,,76415542.0,ns,72
input-generator,5,,,,78986416.0,ns,73
input-generator,5,,,,81896625.0,ns,74
input-generator,5,,,,79598917.0,ns,75
input-generator,5,,,,82857042.0,ns,76
input-generator,5,,,,93799459.0,ns,77
input-generator,5,,,,111531208.0,ns,78
input-generator,5,,,,83667500.0,ns,79
input-generator,5,,,,88854209.0,ns,80
input-generator,5,,,,85993750.0,ns,81
input-generator,5,,,,90378792.0,ns,82
input-generator,5,,,,91087500.0,ns,83
input-generator,5,,,,131811917.0,ns,84
input-generator,5,,,,90294250.0,ns,85
input-generator,5,,,,91591375.0,ns,86
input-generator,5,,,,95863167.0,ns,87
input-generator,5,,,,99547500.0,ns,88
input-generator,5,,,,135168375.0,ns,89
input-generator,5,,,,95630041.0,ns,90
input-generator,5,,,,96784417.0,ns,91
input-generator,5,,,,100478750.0,ns,92
input-generator,5,,,,98631792.0,ns,93
input-generator,5,,,,144051792.0,ns,94
input-generator,5,,,,102800667.0,ns,95
input-generator,5,,,,103974750.0,ns,96
input-generator,5,,,,104065625.0,ns,97
input-generator,5,,,,114881125.0,ns,98
input-generator,5,,,,139812166.0,ns,99
input-generator,5,,,,106121666.0,ns,100
